Year,AAF,AAM,WF,WM
1971,173,2965,94,2285
1972,214,3166,103,2283
1973,226,3236,134,2519
1974,242,3385,159,3018
1975,282,4031,185,3076
1976,276,3448,164,2733
1977,324,3585,197,2925
1978,306,3401,201,2959
1979,362,3849,217,3182
1980,334,4316,256,3558
1981,419,5080,349,4201
1982,432,5452,318,4457
1983,519,6016,405,4893
1984,517,5909,388,5179
1985,547,6436,392,5465
1986,646,7684,460,6084
1987,734,8378,453,6081
1988,779,9056,441,5663
1989,1030,11369,572,5972
1990,1172,12304,564,6110
1991,1360,12614,646,6016
1992,1109,11439,611,5318
1993,1092,10613,574,5105
1994,1025,10677,533,5139
1995,1043,10087,618,4846
1996,1027,9809,632,4889
1997,1079,10860,722,5399
1998,1176,11382,744,5839
1999,1072,10301,772,5038
2000,1094,10276,811,5238
2001,1019,10415,830,5349
2002,1007,9850,876,5565
2003,1063,10790,1078,5792
2004,1045,10811,1076,6196
2005,925,10436,1164,6406
2006,999,11503,1228,6675
2007,981,11430,1323,6447
2008,1041,11914,1165,5957
2009,1063,12302,1205,6086
2010,958,11798,1214,6262
2011,871,11280,1111,6262
2012,769,10440,1034,6026
2013,706,9940,1114,5986
