key,value,date
AAF,1172,1/1/90
AAF,1360,1/1/91
AAF,1109,1/1/92
AAF,1092,1/1/93
AAF,1025,1/1/94
AAF,1043,1/1/95
AAF,1027,1/1/96
AAF,1079,1/1/97
AAF,1176,1/1/98
AAF,1072,1/1/99
AAF,1094,1/1/00
AAF,1019,1/1/01
AAF,1007,1/1/02
AAF,1063,1/1/03
AAF,1045,1/1/04
AAF,925,1/1/05
AAF,999,1/1/06
AAF,981,1/1/07
AAF,1041,1/1/08
AAF,1063,1/1/09
AAF,958,1/1/10
AAF,871,1/1/11
AAF,769,1/1/12
AAF,706,1/1/13
AAM,12304,1/1/90
AAM,12614,1/1/91
AAM,11439,1/1/92
AAM,10613,1/1/93
AAM,10677,1/1/94
AAM,10087,1/1/95
AAM,9809,1/1/96
AAM,10860,1/1/97
AAM,11382,1/1/98
AAM,10301,1/1/99
AAM,10276,1/1/00
AAM,10415,1/1/01
AAM,9850,1/1/02
AAM,10790,1/1/03
AAM,10811,1/1/04
AAM,10436,1/1/05
AAM,11503,1/1/06
AAM,11430,1/1/07
AAM,11914,1/1/08
AAM,12302,1/1/09
AAM,11798,1/1/10
AAM,11280,1/1/11
AAM,10440,1/1/12
AAM,9940,1/1/13
WF,564,1/1/90
WF,646,1/1/91
WF,611,1/1/92
WF,574,1/1/93
WF,533,1/1/94
WF,618,1/1/95
WF,632,1/1/96
WF,722,1/1/97
WF,744,1/1/98
WF,772,1/1/99
WF,811,1/1/00
WF,830,1/1/01
WF,876,1/1/02
WF,1078,1/1/03
WF,1076,1/1/04
WF,1164,1/1/05
WF,1228,1/1/06
WF,1323,1/1/07
WF,1165,1/1/08
WF,1205,1/1/09
WF,1214,1/1/10
WF,1111,1/1/11
WF,1034,1/1/12
WF,1114,1/1/13
WM,6110,1/1/90
WM,6016,1/1/91
WM,5318,1/1/92
WM,5105,1/1/93
WM,5139,1/1/94
WM,4846,1/1/95
WM,4889,1/1/96
WM,5399,1/1/97
WM,5839,1/1/98
WM,5038,1/1/99
WM,5238,1/1/00
WM,5349,1/1/01
WM,5565,1/1/02
WM,5792,1/1/03
WM,6196,1/1/04
WM,6406,1/1/05
WM,6675,1/1/06
WM,6447,1/1/07
WM,5957,1/1/08
WM,6086,1/1/09
WM,6262,1/1/10
WM,6262,1/1/11
WM,6026,1/1/12
WM,5986,1/1/13
